Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer
1.01,113.5404917,-22.84786205,20190812,9:23:00,1,Ningaloo Marine Park,No-take,0,Yes,Yes,Charlotte
1.02,113.5252875,-22.85016136,20190812,9:35:00,1,Ningaloo Marine Park,No-take,1,Yes,Yes,Charlotte
1.03,113.51304,-22.84437,20190812,9:43:00,1,Ningaloo Marine Park,No-take,2,Yes,Yes,Charlotte
1.04,113.5183981,-22.8402743,20190812,9:51:00,1,Ningaloo Marine Park,No-take,3,Yes,Yes,Charlotte
1.05,113.51601,-22.83417,20190812,9:58:00,1,Ningaloo Marine Park,No-take,4,Yes,Yes,Charlotte
1.06,113.523387,-22.83153691,20190812,10:06:00,1,Ningaloo Marine Park,No-take,5,Yes,Yes,Charlotte
2.02,113.5625852,-22.83153691,20190812,11:47:00,2,Ningaloo Marine Park,No-take,6,Yes,Yes,Charlotte
2.03,113.5659111,-22.82900766,20190812,11:57:00,2,Ningaloo Marine Park,No-take,7,Yes,Yes,Charlotte
2.04,113.5815904,-22.82440903,20190812,12:05:00,2,Ningaloo Marine Park,No-take,8,Yes,Yes,Charlotte
2.05,113.5770767,-22.82256957,20190812,12:12:00,2,Ningaloo Marine Park,No-take,9,Yes,Yes,Charlotte
2.06,113.5716127,-22.82164985,20190812,12:18:00,2,Ningaloo Marine Park,No-take,10,Yes,Yes,Charlotte
2.07,113.5640106,-22.8191206,20190812,12:24:00,2,Ningaloo Marine Park,No-take,11,Yes,Yes,Charlotte
3.01,113.5207738,-22.81314238,20190812,14:12:00,3,Ningaloo Marine Park,No-take,12,Yes,Yes,Charlotte
3.02,113.5262378,-22.81015327,20190812,14:07:00,3,Ningaloo Marine Park,No-take,13,Yes,Yes,Charlotte
3.03,113.5338398,-22.80693423,20190812,14:00:00,3,Ningaloo Marine Park,No-take,14,Yes,Yes,Charlotte
3.04,113.51938,-22.80608,20190812,14:17:00,3,Ningaloo Marine Park,No-take,15,Yes,Yes,Charlotte
3.05,113.51626,-22.80532471,20190812,14:21:00,3,Ningaloo Marine Park,No-take,16,Yes,Yes,Charlotte
3.06,113.5105585,-22.80463491,20190812,14:25:00,3,Ningaloo Marine Park,No-take,17,Yes,Yes,Charlotte
4.01,113.49708,-22.80504,20190812,8:05:00,4,Ningaloo Marine Park,No-take,18,Yes,Yes,Charlotte
4.02,113.51077,-22.79001,20190812,8:15:00,4,Ningaloo Marine Park,No-take,19,Yes,Yes,Charlotte
4.03,113.5005807,-22.78991929,20190812,8:24:00,4,Ningaloo Marine Park,No-take,20,Yes,Yes,Charlotte
4.08,113.4984427,-22.78601045,20190812,8:29:00,4,Ningaloo Marine Park,No-take,21,Yes,Yes,Charlotte
4.11,113.496067,-22.78371114,20190812,8:33:00,4,Ningaloo Marine Park,No-take,22,Yes,Yes,Charlotte
4.12,113.4877522,-22.78578052,20190812,8:56:00,4,Ningaloo Marine Park,No-take,23,Yes,Yes,Charlotte
5.02,113.54762,-22.78253,20190812,15:37:00,5,Ningaloo Marine Park,No-take,24,Yes,Yes,Charlotte
5.03,113.56188,-22.78303,20190812,15:42:00,5,Ningaloo Marine Park,No-take,25,Yes,Yes,Charlotte
